               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10592,            0.028846,            0.046032,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0739,              0.0029,              0.0029
                   1,            0.073081,            0.034264,            0.039695,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.046803,           0.0058027,           0.0058027
                   2,            0.067067,            0.026581,            0.038751,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.019606,           0.0086063,           0.0086063
                   3,            0.061405,            0.025876,            0.035575,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   4,            0.057194,            0.024585,            0.034112,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   5,            0.052195,            0.022858,            0.030717,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                   6,            0.049826,            0.022318,            0.029473,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                   7,              0.0466,            0.022051,            0.027268,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   8,            0.043983,            0.021045,            0.026368,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                   9,            0.042184,            0.020241,            0.024991,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                  10,            0.041737,            0.020345,            0.023217,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  11,            0.039534,            0.020243,            0.023577,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                  12,            0.039336,            0.019348,            0.021109,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008185,            0.008185,            0.008185
                  13,            0.037928,            0.018899,            0.019166,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  14,            0.039197,            0.019528,             0.01766,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007855,            0.007855,            0.007855
                  15,              0.0379,             0.02007,            0.018075,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00769,             0.00769,             0.00769
                  16,            0.036966,             0.02012,            0.014793,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                  17,            0.036017,            0.019093,            0.013078,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00736,             0.00736,             0.00736
                  18,             0.03648,            0.020206,            0.013049,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007195,            0.007195,            0.007195
                  19,             0.03364,            0.019365,            0.014897,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  20,            0.034958,            0.019098,            0.012248,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006865,            0.006865,            0.006865
                  21,            0.034398,            0.019419,            0.012653,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                  22,            0.033688,            0.018652,            0.012132,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                  23,            0.032586,            0.019181,             0.01235,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                  24,            0.033794,            0.019605,            0.010936,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006205,            0.006205,            0.006205
                  25,            0.033757,            0.019531,            0.010157,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  26,            0.033157,            0.018837,            0.010997,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005875,            0.005875,            0.005875
                  27,            0.031631,            0.019506,            0.011155,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
                  28,            0.032007,            0.018375,           0.0096861,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  29,            0.031846,            0.018383,            0.010941,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                  30,            0.031953,            0.018523,           0.0093915,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005215,            0.005215,            0.005215
                  31,            0.031505,            0.018699,           0.0078498,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  32,            0.031504,            0.018437,            0.008991,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004885,            0.004885,            0.004885
                  33,            0.029934,            0.018023,            0.009114,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                  34,            0.030277,            0.018812,           0.0076762,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
