               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073719,            0.029294,            0.035664,              0.4244,             0.69801,             0.45499,             0.20255,            0.043224,            0.012486,            0.032115,            0.070309,            0.003299,            0.003299
                   1,             0.05032,            0.019033,             0.02674,             0.30515,             0.68039,             0.46587,             0.21578,            0.045136,           0.0089238,            0.022588,             0.04009,           0.0064134,           0.0064134
                   2,            0.046417,            0.015807,            0.022098,             0.36297,             0.83297,             0.60546,             0.30378,            0.045598,           0.0081191,            0.022373,           0.0096515,           0.0093079,           0.0093079
                   3,            0.039884,            0.013738,            0.017785,             0.53083,             0.89505,             0.83176,              0.4409,            0.033878,           0.0081952,            0.015527,             0.00901,             0.00901,             0.00901
                   4,            0.033716,            0.013221,            0.014819,             0.48882,             0.82411,             0.71932,             0.46799,            0.031201,            0.007891,            0.016815,             0.00901,             0.00901,             0.00901
                   5,            0.030502,            0.011995,            0.013501,             0.70902,             0.83854,             0.84261,             0.60428,            0.024218,           0.0078061,             0.01562,             0.00868,             0.00868,             0.00868
                   6,            0.028278,            0.012176,            0.012698,             0.54079,             0.82073,             0.72948,             0.47492,            0.023889,           0.0076402,            0.023772,             0.00835,             0.00835,             0.00835
                   7,            0.026574,            0.011982,            0.011948,             0.64315,             0.85492,              0.8034,             0.60829,            0.020779,           0.0073463,            0.016458,             0.00802,             0.00802,             0.00802
                   8,            0.025495,            0.011439,            0.010948,             0.75654,              0.9111,             0.86511,             0.65168,             0.02091,           0.0069696,           0.0073431,             0.00769,             0.00769,             0.00769
                   9,            0.024433,            0.010938,            0.010223,             0.81764,             0.85587,             0.88781,             0.69721,            0.018876,           0.0069254,           0.0062329,             0.00736,             0.00736,             0.00736
                  10,            0.023668,            0.010991,           0.0090933,             0.80642,             0.90599,             0.88071,             0.70422,            0.018367,           0.0070086,           0.0073666,             0.00703,             0.00703,             0.00703
                  11,            0.022577,            0.011156,           0.0086981,             0.82338,              0.9264,             0.90073,             0.71782,            0.016417,           0.0067334,            0.004531,              0.0067,              0.0067,              0.0067
                  12,            0.021351,            0.010807,            0.009095,             0.81157,             0.92429,             0.89206,             0.72459,            0.017082,           0.0068144,           0.0055433,             0.00637,             0.00637,             0.00637
                  13,            0.020988,            0.010672,           0.0083877,             0.84154,             0.87393,             0.89505,             0.72877,            0.015935,           0.0066535,           0.0056058,             0.00604,             0.00604,             0.00604
                  14,            0.020554,            0.010892,           0.0079393,             0.82172,             0.88837,               0.878,             0.73735,            0.014941,           0.0065904,            0.011348,             0.00571,             0.00571,             0.00571
                  15,             0.01989,            0.010461,           0.0064002,              0.8412,             0.86737,             0.89352,             0.74637,            0.015314,           0.0065777,           0.0068897,             0.00538,             0.00538,             0.00538
                  16,            0.018907,            0.010398,           0.0069409,             0.84591,             0.93451,             0.88838,             0.74864,            0.015051,           0.0065705,           0.0037783,             0.00505,             0.00505,             0.00505
                  17,            0.018767,            0.010235,           0.0067028,             0.82752,             0.93286,              0.9042,             0.75527,            0.015674,           0.0067855,           0.0037449,             0.00472,             0.00472,             0.00472
                  18,            0.018248,            0.010365,           0.0057838,             0.85778,             0.91913,             0.91669,             0.79532,            0.014456,           0.0062433,           0.0049008,             0.00439,             0.00439,             0.00439
                  19,            0.017282,           0.0097512,           0.0053522,              0.8292,             0.90578,             0.91363,             0.77716,            0.014621,           0.0063993,           0.0048354,             0.00406,             0.00406,             0.00406
                  20,            0.016909,           0.0094495,           0.0053975,             0.84516,             0.92759,              0.9074,             0.79504,            0.014631,            0.006515,           0.0044559,             0.00373,             0.00373,             0.00373
                  21,            0.016638,           0.0094587,           0.0053086,             0.84818,             0.93272,             0.90719,             0.80188,            0.012702,           0.0062707,           0.0028188,              0.0034,              0.0034,              0.0034
                  22,            0.015819,           0.0094234,           0.0050829,             0.84233,             0.92352,             0.91445,             0.80465,            0.012207,            0.006274,           0.0035889,             0.00307,             0.00307,             0.00307
                  23,            0.015819,           0.0089458,           0.0040407,              0.8512,             0.90208,             0.91689,             0.81121,            0.012428,            0.006151,           0.0058685,             0.00274,             0.00274,             0.00274
                  24,            0.014885,           0.0088869,           0.0043357,             0.85744,             0.94085,              0.9164,             0.80232,               0.013,           0.0062298,           0.0021661,             0.00241,             0.00241,             0.00241
                  25,             0.01439,           0.0089508,           0.0037009,             0.85114,             0.89166,              0.9101,             0.80634,            0.011972,            0.006064,           0.0077674,             0.00208,             0.00208,             0.00208
                  26,             0.01423,           0.0092205,           0.0038917,             0.87034,             0.95051,             0.91607,             0.82469,             0.01189,             0.00592,           0.0024418,             0.00175,             0.00175,             0.00175
                  27,            0.013552,           0.0088263,           0.0031653,             0.85469,             0.95237,             0.91836,              0.8241,            0.011337,           0.0060246,           0.0019717,             0.00142,             0.00142,             0.00142
                  28,            0.013009,           0.0087028,           0.0033593,             0.83569,             0.94711,               0.916,             0.82775,            0.011453,           0.0060665,           0.0032915,             0.00109,             0.00109,             0.00109
                  29,            0.013126,           0.0087366,           0.0026819,             0.84756,             0.94044,             0.91815,             0.83585,            0.010518,           0.0060382,           0.0020864,             0.00076,             0.00076,             0.00076
