               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090248,            0.050084,            0.024512,             0.62893,              0.6057,             0.65598,             0.20649,            0.070001,             0.03866,            0.018674,             0.07075,             0.00325,             0.00325
                   1,            0.067897,            0.035005,            0.013248,             0.19171,             0.57486,             0.19859,            0.065587,            0.072335,            0.019323,           0.0064903,            0.040587,           0.0064204,           0.0064204
                   2,            0.069728,            0.030688,           0.0092274,              0.6165,             0.57971,             0.61022,             0.26538,            0.071041,            0.016831,           0.0044649,            0.010259,           0.0094258,           0.0094258
                   3,            0.060346,            0.026864,           0.0077335,             0.57875,             0.64559,             0.69519,              0.3066,            0.062325,            0.016739,           0.0034986,           0.0092575,           0.0092575,           0.0092575
                   4,            0.050462,            0.026066,           0.0069028,             0.75783,             0.85185,             0.89002,             0.46708,            0.039357,            0.014606,           0.0025921,           0.0092575,           0.0092575,           0.0092575
                   5,            0.042574,             0.02355,           0.0053926,             0.72764,             0.82829,             0.86926,             0.45189,            0.034922,            0.014293,           0.0073441,             0.00901,             0.00901,             0.00901
                   6,            0.037487,            0.021969,           0.0055513,             0.89541,              0.8841,             0.93911,             0.57935,            0.025783,            0.014121,           0.0035208,           0.0087625,           0.0087625,           0.0087625
                   7,            0.034501,            0.021062,           0.0048481,             0.93513,             0.93453,             0.96435,             0.66803,            0.026148,             0.01308,           0.0023111,            0.008515,            0.008515,            0.008515
                   8,            0.032734,            0.020565,           0.0045633,             0.90003,             0.93974,             0.96052,             0.64389,            0.026676,            0.012787,            0.002401,           0.0082675,           0.0082675,           0.0082675
                   9,             0.03006,            0.020452,           0.0051749,             0.93298,             0.92335,             0.96427,             0.70744,            0.023123,            0.012721,           0.0023029,             0.00802,             0.00802,             0.00802
